id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	1|1	1|2	1|3	1|4	1|5	1|6	1|7	1|8	2|1	2|2	2|3	2|4	2|5	2|6	2|7	2|8	3|1	3|2	3|3	3|4	3|5	3|6	3|7	3|8	4|1	4|2	4|3	4|4	4|5	4|6	4|7	4|8	5|1	5|2	5|3	5|4	5|5	5|6	5|7	5|8	6|1	6|2	6|3	6|4	6|5	6|6	6|7	6|8	7|1	7|2	7|3	7|4	7|5	7|6	7|7	7|8	8|1	8|2	8|3	8|4	8|5	8|6	8|7	8|8
CPI-CS0924060DB	ACVR_1C2A receptor_INHBA	complex:ACVR_1C2A receptor	simple:P08476		INHBA	True	True	False	user_curated	False	0.0	0.051	0.0	0.0	0.099	0.0	0.0	0.0	0.0	0.072	0.0	0.0	0.121	0.0	0.0	0.0	0.0	0.085	0.0	0.0	0.134	0.0	0.0	0.0	0.0	0.072	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.108	0.0	0.0	0.0	0.0	0.078	0.0	0.0	0.126	0.0	0.0	0.0
CPI-CS0B79F5D68	ACVR_1C2B receptor_INHBA	complex:ACVR_1C2B receptor	simple:P08476		INHBA	True	True	False	user_curated	False	0.0	0.051	0.0	0.0	0.099	0.0	0.0	0.0	0.0	0.072	0.0	0.0	0.121	0.0	0.0	0.0	0.0	0.085	0.0	0.0	0.134	0.0	0.0	0.0	0.0	0.072	0.0	0.0	0.12	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06	0.0	0.0	0.108	0.0	0.0	0.0	0.0	0.078	0.0	0.0	0.126	0.0	0.0	0.0
CPI-CS073233FCC	ACVR_1A2A receptor_INHBB	complex:ACVR_1A2A receptor	simple:P09529		INHBB	True	True	False	user_curated	False	0.108	0.105	0.145	0.0	0.095	0.081	0.081	0.187	0.071	0.069	0.109	0.0	0.059	0.045	0.045	0.15	0.146	0.144	0.184	0.0	0.134	0.119	0.12	0.225	0.094	0.092	0.131	0.0	0.082	0.067	0.067	0.173	0.058	0.056	0.095	0.0	0.045	0.031	0.031	0.137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.069	0.067	0.107	0.0	0.057	0.043	0.043	0.149	0.088	0.086	0.125	0.0	0.075	0.061	0.061	0.167
CPI-CS048465560	ACVR_1A2B receptor_INHBB	complex:ACVR_1A2B receptor	simple:P09529		INHBB	True	True	False	user_curated	False	0.097	0.095	0.134	0.0	0.085	0.07	0.07	0.176	0.091	0.089	0.129	0.0	0.079	0.064	0.065	0.17	0.116	0.114	0.154	0.0	0.104	0.09	0.09	0.195	0.064	0.062	0.102	0.0	0.052	0.038	0.038	0.143	0.058	0.056	0.095	0.0	0.045	0.031	0.031	0.137	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.05	0.09	0.0	0.04	0.026	0.026	0.131	0.123	0.121	0.16	0.0	0.11	0.096	0.096	0.202
CPI-CS02899BF8B	ACVR_1B2A receptor_INHBB	complex:ACVR_1B2A receptor	simple:P09529		INHBB	True	True	False	user_curated	False	0.145	0.143	0.183	0.0	0.133	0.119	0.119	0.224	0.071	0.069	0.109	0.0	0.059	0.045	0.045	0.15	0.146	0.144	0.184	0.0	0.134	0.119	0.12	0.225	0.094	0.092	0.131	0.0	0.082	0.067	0.067	0.173	0.073	0.071	0.111	0.0	0.061	0.046	0.046	0.152	0.043	0.041	0.081	0.0	0.031	0.017	0.017	0.122	0.078	0.076	0.116	0.0	0.066	0.051	0.052	0.157	0.088	0.086	0.125	0.0	0.075	0.061	0.061	0.167
CPI-CS085EF890A	ACVR_1B2B receptor_INHBB	complex:ACVR_1B2B receptor	simple:P09529		INHBB	True	True	False	user_curated	False	0.097	0.095	0.134	0.0	0.085	0.07	0.07	0.176	0.091	0.089	0.129	0.0	0.079	0.064	0.065	0.17	0.116	0.114	0.154	0.0	0.104	0.09	0.09	0.195	0.064	0.062	0.102	0.0	0.052	0.038	0.038	0.143	0.073	0.071	0.111	0.0	0.061	0.046	0.046	0.152	0.043	0.041	0.081	0.0	0.031	0.017	0.017	0.122	0.052	0.05	0.09	0.0	0.04	0.026	0.026	0.131	0.096	0.094	0.134	0.0	0.084	0.07	0.07	0.175
CPI-CS007ADC2D1	ACVR_1C2A receptor_INHBB	complex:ACVR_1C2A receptor	simple:P09529		INHBB	True	True	False	user_curated	False	0.043	0.041	0.081	0.0	0.031	0.016	0.017	0.122	0.065	0.063	0.102	0.0	0.052	0.038	0.038	0.144	0.078	0.076	0.115	0.0	0.065	0.051	0.051	0.157	0.064	0.062	0.102	0.0	0.052	0.038	0.038	0.143	0.073	0.071	0.111	0.0	0.061	0.046	0.046	0.152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.05	0.09	0.0	0.04	0.026	0.026	0.131	0.07	0.068	0.108	0.0	0.058	0.043	0.044	0.149
CPI-CS0A5400A6A	ACVR_1C2B receptor_INHBB	complex:ACVR_1C2B receptor	simple:P09529		INHBB	True	True	False	user_curated	False	0.043	0.041	0.081	0.0	0.031	0.016	0.017	0.122	0.065	0.063	0.102	0.0	0.052	0.038	0.038	0.144	0.078	0.076	0.115	0.0	0.065	0.051	0.051	0.157	0.064	0.062	0.102	0.0	0.052	0.038	0.038	0.143	0.073	0.071	0.111	0.0	0.061	0.046	0.046	0.152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.05	0.09	0.0	0.04	0.026	0.026	0.131	0.07	0.068	0.108	0.0	0.058	0.043	0.044	0.149
CPI-CS0E4E75E3B	BMPR1A_BMPR2_BMP2	complex:BMPR1A_BMPR2	simple:P12643		BMP2	True	True	False	user_curated	False	0.113	0.074	0.174	0.31	0.0	0.0	0.093	0.076	0.128	0.089	0.189	0.325	0.0	0.0	0.108	0.091	0.144	0.105	0.205	0.341	0.0	0.0	0.124	0.107	0.119	0.08	0.18	0.316	0.0	0.0	0.099	0.082	0.106	0.067	0.167	0.303	0.0	0.0	0.086	0.069	0.062	0.023	0.124	0.259	0.0	0.0	0.043	0.025	0.08	0.041	0.141	0.277	0.0	0.0	0.06	0.043	0.169	0.129	0.23	0.365	0.0	0.0	0.149	0.132
CPI-CS075442484	BMR1A_ACR2A_BMP2	complex:BMR1A_ACR2A	simple:P12643		BMP2	True	True	False	user_curated	False	0.113	0.074	0.174	0.31	0.0	0.0	0.093	0.076	0.082	0.043	0.143	0.279	0.0	0.0	0.062	0.045	0.144	0.105	0.205	0.341	0.0	0.0	0.124	0.107	0.119	0.08	0.18	0.316	0.0	0.0	0.099	0.082	0.084	0.044	0.145	0.281	0.0	0.0	0.064	0.047	0.054	0.015	0.115	0.251	0.0	0.0	0.034	0.017	0.08	0.041	0.141	0.277	0.0	0.0	0.06	0.043	0.098	0.059	0.159	0.295	0.0	0.0	0.078	0.061
CPI-CS0BE59B43E	BMR1A_AVR2B_BMP2	complex:BMR1A_AVR2B	simple:P12643		BMP2	True	True	False	user_curated	False	0.108	0.068	0.169	0.304	0.0	0.0	0.088	0.071	0.102	0.062	0.163	0.299	0.0	0.0	0.082	0.065	0.127	0.088	0.188	0.324	0.0	0.0	0.107	0.09	0.075	0.036	0.136	0.272	0.0	0.0	0.055	0.038	0.084	0.044	0.145	0.281	0.0	0.0	0.064	0.047	0.054	0.015	0.115	0.251	0.0	0.0	0.034	0.017	0.063	0.024	0.124	0.26	0.0	0.0	0.043	0.026	0.133	0.094	0.195	0.33	0.0	0.0	0.114	0.096
CPI-CS0CFA0E4C5	BMPR1A_BMPR2_GDF7	complex:BMPR1A_BMPR2	simple:Q7Z4P5		GDF7	True	True	False	user_curated	False	0.102	0.123	0.148	0.075	0.0	0.076	0.0	0.146	0.117	0.138	0.163	0.09	0.0	0.091	0.0	0.161	0.133	0.154	0.179	0.106	0.0	0.107	0.0	0.177	0.108	0.129	0.155	0.081	0.0	0.082	0.0	0.152	0.096	0.117	0.142	0.068	0.0	0.069	0.0	0.14	0.052	0.073	0.098	0.024	0.0	0.025	0.0	0.096	0.069	0.09	0.116	0.042	0.0	0.043	0.0	0.113	0.158	0.179	0.204	0.13	0.0	0.131	0.0	0.202
CPI-CS05789C9A0	BMR1A_ACR2A_GDF7	complex:BMR1A_ACR2A	simple:Q7Z4P5		GDF7	True	True	False	user_curated	False	0.102	0.123	0.148	0.075	0.0	0.076	0.0	0.146	0.071	0.092	0.117	0.044	0.0	0.045	0.0	0.115	0.133	0.154	0.179	0.106	0.0	0.107	0.0	0.177	0.108	0.129	0.155	0.081	0.0	0.082	0.0	0.152	0.073	0.094	0.119	0.045	0.0	0.046	0.0	0.117	0.043	0.064	0.09	0.016	0.0	0.017	0.0	0.087	0.069	0.09	0.116	0.042	0.0	0.043	0.0	0.113	0.088	0.109	0.134	0.06	0.0	0.061	0.0	0.132
CPI-CS0E5078EDE	BMR1A_AVR2B_GDF7	complex:BMR1A_AVR2B	simple:Q7Z4P5		GDF7	True	True	False	user_curated	False	0.097	0.118	0.143	0.069	0.0	0.07	0.0	0.141	0.091	0.112	0.137	0.063	0.0	0.064	0.0	0.135	0.116	0.137	0.162	0.089	0.0	0.09	0.0	0.16	0.064	0.085	0.111	0.037	0.0	0.038	0.0	0.108	0.073	0.094	0.119	0.045	0.0	0.046	0.0	0.117	0.043	0.064	0.09	0.016	0.0	0.017	0.0	0.087	0.052	0.073	0.098	0.025	0.0	0.026	0.0	0.096	0.123	0.144	0.169	0.095	0.0	0.096	0.0	0.167
CPI-CS04F78ACD6	ACVR_1B2A receptor_GDF11	complex:ACVR_1B2A receptor	simple:O95390		GDF11	True	True	False	user_curated	False	0.159	0.16	0.217	0.132	0.163	0.0	0.127	0.18	0.085	0.086	0.143	0.058	0.089	0.0	0.053	0.106	0.159	0.16	0.218	0.133	0.164	0.0	0.128	0.181	0.107	0.108	0.166	0.081	0.112	0.0	0.076	0.129	0.086	0.087	0.145	0.06	0.091	0.0	0.055	0.108	0.057	0.058	0.115	0.03	0.061	0.0	0.026	0.079	0.091	0.092	0.15	0.065	0.096	0.0	0.06	0.113	0.101	0.102	0.159	0.075	0.106	0.0	0.07	0.123
CPI-CS0384572FE	ACVR_1B2B receptor_GDF11	complex:ACVR_1B2B receptor	simple:O95390		GDF11	True	True	False	user_curated	False	0.11	0.111	0.169	0.084	0.115	0.0	0.079	0.132	0.104	0.105	0.163	0.078	0.109	0.0	0.073	0.126	0.13	0.131	0.188	0.103	0.134	0.0	0.098	0.151	0.078	0.079	0.136	0.051	0.082	0.0	0.047	0.1	0.086	0.087	0.145	0.06	0.091	0.0	0.055	0.108	0.057	0.058	0.115	0.03	0.061	0.0	0.026	0.079	0.066	0.067	0.124	0.039	0.07	0.0	0.034	0.087	0.11	0.111	0.168	0.083	0.114	0.0	0.079	0.132
CPI-CS0C8F1E01F	ACVR_1B2A receptor_BMP3	complex:ACVR_1B2A receptor	simple:P12645		BMP3	True	True	False	user_curated	False	0.0	0.114	0.0	0.176	0.118	0.0	0.0	0.0	0.0	0.039	0.0	0.102	0.044	0.0	0.0	0.0	0.0	0.114	0.0	0.177	0.119	0.0	0.0	0.0	0.0	0.062	0.0	0.125	0.066	0.0	0.0	0.0	0.0	0.041	0.0	0.104	0.045	0.0	0.0	0.0	0.0	0.012	0.0	0.075	0.016	0.0	0.0	0.0	0.0	0.046	0.0	0.109	0.051	0.0	0.0	0.0	0.0	0.056	0.0	0.119	0.06	0.0	0.0	0.0
CPI-SS0DE0A486F	NRP1_VEGFA	simple:O14786	simple:P15692	NRP1	VEGFA	True	True	False	user_curated	False	0.196	0.301	0.325	0.264	0.241	0.055	0.056	0.495	0.178	0.283	0.307	0.246	0.223	0.037	0.038	0.477	0.196	0.301	0.325	0.264	0.241	0.055	0.056	0.495	0.182	0.287	0.311	0.25	0.227	0.041	0.042	0.481	0.182	0.287	0.311	0.25	0.227	0.041	0.042	0.481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.201	0.305	0.329	0.269	0.246	0.059	0.06	0.5	0.184	0.288	0.312	0.251	0.228	0.042	0.043	0.482
CPI-SS0E00478B4	NRP2_VEGFA	simple:O60462	simple:P15692	NRP2	VEGFA	True	True	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.178	0.283	0.307	0.246	0.223	0.037	0.038	0.477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.182	0.287	0.311	0.25	0.227	0.041	0.042	0.481	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.183	0.288	0.312	0.251	0.228	0.042	0.043	0.482	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0855C0353	NRP1_PGF	simple:O14786	simple:P49763	NRP1	PGF	True	True	False	user_curated	False	0.027	0.028	0.043	0.0	0.0	0.0	0.0	0.0	0.009	0.01	0.025	0.0	0.0	0.0	0.0	0.0	0.027	0.028	0.043	0.0	0.0	0.0	0.0	0.0	0.013	0.014	0.029	0.0	0.0	0.0	0.0	0.0	0.013	0.014	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.032	0.047	0.0	0.0	0.0	0.0	0.0	0.014	0.015	0.03	0.0	0.0	0.0	0.0	0.0
CPI-SS0D22A09AD	NRP2_PGF	simple:O60462	simple:P49763	NRP2	PGF	True	True	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.01	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.014	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.015	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS033E6DE7E	NRP1_VEGFB	simple:O14786	simple:P49765	NRP1	VEGFB	True	True	False	user_curated	False	1.019	0.949	1.163	0.522	0.514	0.313	0.349	1.092	1.001	0.931	1.144	0.503	0.496	0.295	0.331	1.073	1.019	0.949	1.162	0.521	0.514	0.313	0.349	1.092	1.005	0.935	1.148	0.507	0.5	0.299	0.335	1.078	1.005	0.935	1.149	0.508	0.5	0.299	0.335	1.078	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.023	0.953	1.167	0.526	0.518	0.318	0.353	1.096	1.006	0.936	1.15	0.509	0.501	0.3	0.336	1.079
CPI-SS08083B141	NRP1_SEMA3A	simple:O14786	simple:Q14563	NRP1	SEMA3A	True	True	False	user_curated	False	0.0	0.045	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.044	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.016	0.0	0.0	0.0	0.0
CPI-SS0F15C1AB3	NRP2_SEMA3F	simple:O60462	simple:Q13275	NRP2	SEMA3F	True	True	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.01	0.016	0.033	0.011	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034	0.014	0.02	0.037	0.015	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.036	0.015	0.021	0.038	0.016	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0241A1F57	NRP2_SEMA3C	simple:O60462	simple:Q99985	NRP2	SEMA3C	True	True	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.082	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS05426BFFA	IL1 receptor_IL1B	complex:IL1 receptor	simple:P01584		IL1B	True	True	False	user_curated	False	0.0	0.0	0.0	0.07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0.0	0.0	0.0
CPI-CS008C9D6E5	IL1 receptor inhibitor_IL1B	complex:IL1 receptor inhibitor	simple:P01584		IL1B	True	True	False	user_curated	False	0.0	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS0DEBE7B69	IL1 receptor_IL1RN	complex:IL1 receptor	simple:P18510		IL1RN	True	True	False	user_curated	False	0.051	0.0	0.061	0.063	0.056	0.0	0.0	0.0	0.026	0.0	0.036	0.038	0.031	0.0	0.0	0.0	0.067	0.0	0.077	0.079	0.072	0.0	0.0	0.0	0.039	0.0	0.05	0.051	0.044	0.0	0.0	0.0	0.025	0.0	0.036	0.037	0.03	0.0	0.0	0.0	0.011	0.0	0.021	0.023	0.016	0.0	0.0	0.0	0.02	0.0	0.03	0.032	0.025	0.0	0.0	0.0	0.029	0.0	0.039	0.041	0.034	0.0	0.0	0.0
CPI-CS085E95BC1	IL1 receptor inhibitor_IL1RN	complex:IL1 receptor inhibitor	simple:P18510		IL1RN	True	True	False	user_curated	False	0.005	0.0	0.016	0.017	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.017	0.019	0.012	0.0	0.0	0.0	0.01	0.0	0.02	0.022	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS04CBDE052	IL10 receptor_IL10	complex:IL10 receptor	simple:P22301		IL10	True	True	False	user_curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.011	0.0	0.0	0.012	0.0	0.0	0.013	0.0	0.016	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-CS0DDFD82E7	IL11 receptor_IL11	complex:IL11 receptor	simple:P20809		IL11	True	True	False	user_curated	False	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0
