gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	M-X-cells (GHRL)	EC-cells (TPH1)	ECL-cells (HDC,MAOB)
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_ACR2A	CPI-CS05789C9A0	0.103	0.154	0.084
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0C99F8D96	0.107	0.141	0.054
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0CA393CC5	0.107	0.141	0.054
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0BE59B43E	0.107	0.141	0.054
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0BCDC40FC	0.107	0.141	0.054
BMPR1A	P36894	True	BMR1A_HUMAN	BMR1A_AVR2B	CPI-CS0E5078EDE	0.107	0.141	0.054
BMPR1A	P36894	True	BMR1A_HUMAN	MIS receptor 1	CPI-CS07557A266	0.0	0.003	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS08109C435	0.004	0.0	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS02C93975C	0.004	0.0	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS028ACED72	0.004	0.0	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS0107C51C6	0.004	0.0	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS027D7A724	0.004	0.0	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMPR1B_BMPR2	CPI-CS0569B9B91	0.004	0.0	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2A	CPI-CS0DF85303A	0.004	0.0	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2A	CPI-CS01A4D7E2F	0.004	0.0	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2A	CPI-CS08A043594	0.004	0.0	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2A	CPI-CS02957B1BF	0.004	0.0	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2A	CPI-CS0BDA0D08C	0.004	0.0	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2B	CPI-CS08A853007	0.004	0.0	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2B	CPI-CS0BEC40E19	0.004	0.0	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2B	CPI-CS058910188	0.004	0.0	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2B	CPI-CS0E997FABD	0.004	0.0	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	BMR1B_AVR2B	CPI-CS055E15573	0.004	0.0	0.0
BMPR1B	O00238	True	BMR1B_HUMAN	MIS receptor 2	CPI-CS0F670E8BC	0.0	0.0	0.0
IL1R1	P14778	True	IL1R1_HUMAN	IL1 receptor	CPI-CS05426BFFA	0.05	0.106	0.036
IL1R1	P14778	True	IL1R1_HUMAN	IL1 receptor	CPI-CS0DEBE7B69	0.05	0.106	0.036
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1 receptor	CPI-CS05426BFFA	0.05	0.106	0.036
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1 receptor	CPI-CS0DEBE7B69	0.05	0.106	0.036
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1 receptor inhibitor	CPI-CS008C9D6E5	0.009	0.006	0.0
IL1RAP	Q9NPH3	True	IL1AP_HUMAN	IL1 receptor inhibitor	CPI-CS085E95BC1	0.009	0.006	0.0
IL1R2	P27930	True	IL1R2_HUMAN	IL1 receptor inhibitor	CPI-CS008C9D6E5	0.009	0.006	0.0
IL1R2	P27930	True	IL1R2_HUMAN	IL1 receptor inhibitor	CPI-CS085E95BC1	0.009	0.006	0.0
IL10RA	Q13651	True	I10R1_HUMAN	IL10 receptor	CPI-CS04CBDE052	0.004	0.003	0.006
IL10RB	Q08334	True	I10R2_HUMAN	IL10 receptor	CPI-CS04CBDE052	0.004	0.003	0.006
IL11RA	Q14626	True	I11RA_HUMAN	IL11 receptor	CPI-CS0DDFD82E7	0.042	0.019	0.024
IL6ST	P40189	True	IL6RB_HUMAN	IL11 receptor	CPI-CS0DDFD82E7	0.042	0.019	0.024
IL2RB	P14784	True	IL2RB_HUMAN	IL15 receptor	CPI-CS06E556972	0.0	0.003	0.0
IL2RG	P31785	True	IL2RG_HUMAN	IL15 receptor	CPI-CS06E556972	0.0	0.003	0.0
IL17RA	Q96F46	True	I17RA_HUMAN	IL17 receptor AE	CPI-CS0BA342294	0.105	0.109	0.03
IL17RE	Q8NFR9	True	I17RE_HUMAN	IL17 receptor AE	CPI-CS0BA342294	0.105	0.109	0.03
IL18	Q14116	True	IL18_HUMAN	IL18 receptor	CPI-CS09831CCFD	0.0	0.003	0.0
IL18R1	Q13478	True	IL18R_HUMAN	IL18 receptor	CPI-CS09831CCFD	0.0	0.003	0.0
IL18RAP	O95256	True	I18RA_HUMAN	IL18 receptor	CPI-CS09831CCFD	0.0	0.003	0.0
AMHR2	Q16671	True	AMHR2_HUMAN	MIS receptor 1	CPI-CS07557A266	0.0	0.003	0.0
AMHR2	Q16671	True	AMHR2_HUMAN	MIS receptor 2	CPI-CS0F670E8BC	0.0	0.0	0.0
AMHR2	Q16671	True	AMHR2_HUMAN	MIS receptor 3	CPI-CS0D4BB4458	0.0	0.003	0.0
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0DE0A486F	0.011	0.035	0.042
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0E00478B4	0.004	0.003	0.0
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0855C0353	0.011	0.035	0.042
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0D22A09AD	0.004	0.003	0.0
NRP1	O14786	False	NRP1_HUMAN		CPI-SS033E6DE7E	0.011	0.035	0.042
NRP1	O14786	False	NRP1_HUMAN		CPI-SS08083B141	0.011	0.035	0.042
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0F15C1AB3	0.004	0.003	0.0
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0241A1F57	0.004	0.003	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0EA05941A	0.004	0.006	0.0
CXCL11	O14625	False	CXL11_HUMAN		CPI-SS0CC738ABC	0.0	0.0	0.006
CXCL10	P02778	False	CXL10_HUMAN		CPI-SS0FDAB7BA8	0.004	0.003	0.012
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0CDAC688B	0.84	0.199	0.042
CXCL1	P09341	False	GROA_HUMAN		CPI-SS08102DC9E	0.053	0.003	0.0
CXCL8	P10145	False	IL8_HUMAN		CPI-SS0315F51DD	0.099	0.349	0.054
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0F562FEA5	0.84	0.199	0.042
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	0.798	0.077	0.163
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS0179FBFD3	0.031	0.003	0.0
TNFRSF11B	O00300	False	TR11B_HUMAN		CPI-SS0AD0ED887	0.048	0.087	0.006
TNFRSF10B	O14763	False	TR10B_HUMAN		CPI-SS0898D7F7F	0.024	0.0	0.006
TNFRSF10C	O14798	False	TR10C_HUMAN		CPI-SS01ECFDA18	0.002	0.003	0.006
LEFTY2	O00292	False	LFTY2_HUMAN		CPI-SS033A27302	0.0	0.003	0.0
LEFTY1	O75610	False	LFTY1_HUMAN		CPI-SS0E9F84F1F	0.081	0.878	0.259
DLL1	O00548	False	DLL1_HUMAN		CPI-SS04A5D6B6F	0.173	0.08	0.036
DLL1	O00548	False	DLL1_HUMAN		CPI-SS0423580E5	0.173	0.08	0.036
JAG1	P78504	False	JAG1_HUMAN		CPI-SS060B82BBC	0.046	0.186	0.181
DLL1	O00548	False	DLL1_HUMAN		CPI-SS0FB5FE587	0.173	0.08	0.036
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0837E9F59	0.046	0.186	0.181
DLL1	O00548	False	DLL1_HUMAN		CPI-SS047232C64	0.173	0.08	0.036
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0B99F22A2	0.046	0.186	0.181
DLL4	Q9NR61	False	DLL4_HUMAN		CPI-SS0938C6980	0.083	0.045	0.024
CCL19	Q99731	False	CCL19_HUMAN		CPI-SS00AEC3818	0.042	0.0	0.0
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS0AFE077D8	0.011	0.026	0.012
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS03165AD8C	0.011	0.026	0.012
ACKR2	O00590	False	ACKR2_HUMAN		CPI-SS0AE4CF4E7	0.011	0.026	0.012
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0DBA4D668	0.055	0.045	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0E32BEF02	0.029	0.353	0.102
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0B2D5BA95	0.029	0.353	0.102
WNT7B	P56706	False	WNT7B_HUMAN		CPI-SS0D81C6C1D	0.002	0.003	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS01C2BA5C8	0.029	0.353	0.102
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS002673EFE	0.029	0.353	0.102
WNT7B	P56706	False	WNT7B_HUMAN		CPI-SS0B8083B44	0.002	0.003	0.0
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS01469637C	0.042	0.064	0.024
NRG2	O14511	False	NRG2_HUMAN		CPI-SS053613259	0.059	0.106	0.084
NRG2	O14511	False	NRG2_HUMAN		CPI-SS0E063192D	0.059	0.106	0.084
EREG	O14944	False	EREG_HUMAN		CPI-SS0FC42EC80	0.013	0.0	0.0
BTC	P35070	False	BTC_HUMAN		CPI-SS0F0D7F25C	0.075	0.064	0.012
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0BD5C2A23	0.011	0.074	0.108
EREG	O14944	False	EREG_HUMAN		CPI-SS004C23DCE	0.013	0.0	0.0
NRG1	Q02297	False	NRG1_HUMAN		CPI-SC0E5218AA4	0.011	0.074	0.108
IGF1	P05019	False	IGF1_HUMAN		CPI-SC0A68C5F13	0.002	0.0	0.0
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	0.002	0.0	0.0
GDF11	O95390	False	GDF11_HUMAN		CPI-SC001669E22	0.086	0.141	0.042
GDF11	O95390	False	GDF11_HUMAN		CPI-SC017215F7F	0.086	0.141	0.042
TNFRSF17	Q02223	False	TNR17_HUMAN		CPI-SS0E2863F09	0.013	0.003	0.0
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS090FC28E1	0.164	0.019	0.036
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0B9E8C0DE	0.039	0.051	0.072
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS0DC4D593E	0.164	0.019	0.036
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0111AAD26	0.039	0.051	0.072
EPHB3	P54753	False	EPHB3_HUMAN		CPI-SS0FF55B42C	0.355	0.5	0.265
EPHB4	P54760	False	EPHB4_HUMAN		CPI-SS0F21D6CA0	0.018	0.01	0.0
EPHB1	P54762	False	EPHB1_HUMAN		CPI-SS0470AF83E	0.004	0.01	0.024
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS00046DCF3	0.32	0.006	0.0
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS08718E4FB	0.164	0.019	0.036
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0DA366C78	0.039	0.051	0.072
EPHB3	P54753	False	EPHB3_HUMAN		CPI-SS0A5B945E3	0.355	0.5	0.265
EPHB4	P54760	False	EPHB4_HUMAN		CPI-SS0865716E5	0.018	0.01	0.0
EPHB1	P54762	False	EPHB1_HUMAN		CPI-SS0D41C7AF5	0.004	0.01	0.024
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS07CA5A6F1	0.32	0.006	0.0
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0586F2596	0.039	0.051	0.072
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS03A2EFDD5	0.026	0.019	0.03
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS02AFCED82	0.055	0.01	0.018
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS01A8F745A	0.026	0.019	0.03
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS07BECB892	0.055	0.01	0.018
EPHA1	P21709	False	EPHA1_HUMAN		CPI-SS05E6D620E	0.026	0.019	0.03
EPHA2	P29317	False	EPHA2_HUMAN		CPI-SS09F973C1A	0.055	0.01	0.018
TNFSF12	O43508	False	TNF12_HUMAN		CPI-SS02EF3E1BA	0.154	0.208	0.048
TNFSF14	O43557	False	TNF14_HUMAN		CPI-SS0859C173B	0.0	0.003	0.006
TNFSF14	O43557	False	TNF14_HUMAN		CPI-SS019C98396	0.0	0.003	0.006
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0FF49C823	0.737	0.266	0.108
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS046F6F0C1	0.737	0.266	0.108
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0762B455F	0.737	0.266	0.108
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS09E3F5044	0.086	0.212	0.084
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0EBFE1854	0.737	0.266	0.108
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	0.086	0.212	0.084
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS05B4EB419	0.022	0.019	0.036
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0659DBE72	0.018	0.016	0.03
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	0.123	0.061	0.03
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS082ABF1EA	0.123	0.061	0.03
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS08D0F9109	0.123	0.061	0.03
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS0BFD8E056	0.123	0.061	0.03
FZD6	O60353	False	FZD6_HUMAN		CPI-SS082AD7B6A	0.11	0.144	0.054
FZD6	O60353	False	FZD6_HUMAN		CPI-SS0FA326344	0.11	0.144	0.054
GDF9	O60383	False	GDF9_HUMAN		CPI-SC0FDB4B6D9	0.002	0.003	0.012
PLXNC1	O60486	False	PLXC1_HUMAN		CPI-SS02B567BC7	0.158	0.237	0.108
FZD7	O75084	False	FZD7_HUMAN		CPI-SS070C51D94	0.013	0.013	0.0
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0B89DD8C1	0.0	0.003	0.0
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.004	0.0	0.006
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.0	0.006	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.175	0.417	0.355
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.0	0.006	0.0
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	0.175	0.417	0.355
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.156	0.099	0.054
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.14	0.125	0.102
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	0.658	0.907	0.337
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.156	0.099	0.054
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS00661A3A4	0.14	0.125	0.102
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS01E0F2D2C	0.14	0.125	0.102
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.007	0.003	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0E25CE362	0.05	0.119	0.042
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0481D83A4	0.05	0.119	0.042
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0A19E9C34	0.05	0.119	0.042
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS06BC4D123	0.616	0.872	0.524
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0C10824C7	0.05	0.119	0.042
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS03098AC28	0.022	0.08	0.072
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS0BF9FA3F2	0.616	0.872	0.524
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS074CF011C	0.022	0.08	0.072
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0FEEB187C	0.02	0.022	0.042
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	0.353	0.397	0.193
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.45	0.747	0.084
