id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	EC-cells (TPH1)|EC-cells (TPH1)	EC-cells (TPH1)|ECL-cells (HDC,MAOB)	EC-cells (TPH1)|M-X-cells (GHRL)	ECL-cells (HDC,MAOB)|EC-cells (TPH1)	ECL-cells (HDC,MAOB)|ECL-cells (HDC,MAOB)	ECL-cells (HDC,MAOB)|M-X-cells (GHRL)	M-X-cells (GHRL)|EC-cells (TPH1)	M-X-cells (GHRL)|ECL-cells (HDC,MAOB)	M-X-cells (GHRL)|M-X-cells (GHRL)
CPI-CS02C93975C	BMPR1B_BMPR2_BMP5	complex:BMPR1B_BMPR2	simple:P22003		BMP5	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS047EE9E03	BMR1A_ACR2A_BMP5	complex:BMR1A_ACR2A	simple:P22003		BMP5	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0CA393CC5	BMR1A_AVR2B_BMP5	complex:BMR1A_AVR2B	simple:P22003		BMP5	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS01A4D7E2F	BMR1B_AVR2A_BMP5	complex:BMR1B_AVR2A	simple:P22003		BMP5	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0BEC40E19	BMR1B_AVR2B_BMP5	complex:BMR1B_AVR2B	simple:P22003		BMP5	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS091BF99D0	ACVR_1A2A receptor_INHBA	complex:ACVR_1A2A receptor	simple:P08476		INHBA	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS04DD927C9	ACVR_1A2B receptor_INHBA	complex:ACVR_1A2B receptor	simple:P08476		INHBA	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0533A30DC	ACVR_1B2A receptor_INHBA	complex:ACVR_1B2A receptor	simple:P08476		INHBA	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0C159B54D	ACVR_1B2B receptor_INHBA	complex:ACVR_1B2B receptor	simple:P08476		INHBA	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0924060DB	ACVR_1C2A receptor_INHBA	complex:ACVR_1C2A receptor	simple:P08476		INHBA	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0B79F5D68	ACVR_1C2B receptor_INHBA	complex:ACVR_1C2B receptor	simple:P08476		INHBA	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS073233FCC	ACVR_1A2A receptor_INHBB	complex:ACVR_1A2A receptor	simple:P09529		INHBB	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS048465560	ACVR_1A2B receptor_INHBB	complex:ACVR_1A2B receptor	simple:P09529		INHBB	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS02899BF8B	ACVR_1B2A receptor_INHBB	complex:ACVR_1B2A receptor	simple:P09529		INHBB	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS085EF890A	ACVR_1B2B receptor_INHBB	complex:ACVR_1B2B receptor	simple:P09529		INHBB	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS007ADC2D1	ACVR_1C2A receptor_INHBB	complex:ACVR_1C2A receptor	simple:P09529		INHBB	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0A5400A6A	ACVR_1C2B receptor_INHBB	complex:ACVR_1C2B receptor	simple:P09529		INHBB	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0E4E75E3B	BMPR1A_BMPR2_BMP2	complex:BMPR1A_BMPR2	simple:P12643		BMP2	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS028ACED72	BMPR1B_BMPR2_BMP2	complex:BMPR1B_BMPR2	simple:P12643		BMP2	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS075442484	BMR1A_ACR2A_BMP2	complex:BMR1A_ACR2A	simple:P12643		BMP2	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0BE59B43E	BMR1A_AVR2B_BMP2	complex:BMR1A_AVR2B	simple:P12643		BMP2	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS08A043594	BMR1B_AVR2A_BMP2	complex:BMR1B_AVR2A	simple:P12643		BMP2	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS058910188	BMR1B_AVR2B_BMP2	complex:BMR1B_AVR2B	simple:P12643		BMP2	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0E54FF657	BMPR1A_BMPR2_BMP4	complex:BMPR1A_BMPR2	simple:P12644		BMP4	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0107C51C6	BMPR1B_BMPR2_BMP4	complex:BMPR1B_BMPR2	simple:P12644		BMP4	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS012D15A88	BMR1A_ACR2A_BMP4	complex:BMR1A_ACR2A	simple:P12644		BMP4	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0BCDC40FC	BMR1A_AVR2B_BMP4	complex:BMR1A_AVR2B	simple:P12644		BMP4	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS02957B1BF	BMR1B_AVR2A_BMP4	complex:BMR1B_AVR2A	simple:P12644		BMP4	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0E997FABD	BMR1B_AVR2B_BMP4	complex:BMR1B_AVR2B	simple:P12644		BMP4	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0CFA0E4C5	BMPR1A_BMPR2_GDF7	complex:BMPR1A_BMPR2	simple:Q7Z4P5		GDF7	True	True	False	user_curated	False	1.0	1.0	0.116	1.0	1.0	1.0	1.0	1.0	0.0
CPI-CS027D7A724	BMPR1B_BMPR2_GDF7	complex:BMPR1B_BMPR2	simple:Q7Z4P5		GDF7	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS05789C9A0	BMR1A_ACR2A_GDF7	complex:BMR1A_ACR2A	simple:Q7Z4P5		GDF7	True	True	False	user_curated	False	1.0	1.0	0.004	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0E5078EDE	BMR1A_AVR2B_GDF7	complex:BMR1A_AVR2B	simple:Q7Z4P5		GDF7	True	True	False	user_curated	False	1.0	1.0	0.004	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0BDA0D08C	BMR1B_AVR2A_GDF7	complex:BMR1B_AVR2A	simple:Q7Z4P5		GDF7	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS055E15573	BMR1B_AVR2B_GDF7	complex:BMR1B_AVR2B	simple:Q7Z4P5		GDF7	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0569B9B91	BMPR1B_BMPR2_BMPR1A	complex:BMPR1B_BMPR2	simple:P36894		BMPR1A	False	True	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS04F78ACD6	ACVR_1B2A receptor_GDF11	complex:ACVR_1B2A receptor	simple:O95390		GDF11	True	True	False	user_curated	False	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0384572FE	ACVR_1B2B receptor_GDF11	complex:ACVR_1B2B receptor	simple:O95390		GDF11	True	True	False	user_curated	False	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0C8F1E01F	ACVR_1B2A receptor_BMP3	complex:ACVR_1B2A receptor	simple:P12645		BMP3	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0DE0A486F	NRP1_VEGFA	simple:O14786	simple:P15692	NRP1	VEGFA	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0E00478B4	NRP2_VEGFA	simple:O60462	simple:P15692	NRP2	VEGFA	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0855C0353	NRP1_PGF	simple:O14786	simple:P49763	NRP1	PGF	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0D22A09AD	NRP2_PGF	simple:O60462	simple:P49763	NRP2	PGF	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS033E6DE7E	NRP1_VEGFB	simple:O14786	simple:P49765	NRP1	VEGFB	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS08083B141	NRP1_SEMA3A	simple:O14786	simple:Q14563	NRP1	SEMA3A	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0F15C1AB3	NRP2_SEMA3F	simple:O60462	simple:Q13275	NRP2	SEMA3F	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0241A1F57	NRP2_SEMA3C	simple:O60462	simple:Q99985	NRP2	SEMA3C	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS05426BFFA	IL1 receptor_IL1B	complex:IL1 receptor	simple:P01584		IL1B	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS008C9D6E5	IL1 receptor inhibitor_IL1B	complex:IL1 receptor inhibitor	simple:P01584		IL1B	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0DEBE7B69	IL1 receptor_IL1RN	complex:IL1 receptor	simple:P18510		IL1RN	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS085E95BC1	IL1 receptor inhibitor_IL1RN	complex:IL1 receptor inhibitor	simple:P18510		IL1RN	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS04CBDE052	IL10 receptor_IL10	complex:IL10 receptor	simple:P22301		IL10	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0DDFD82E7	IL11 receptor_IL11	complex:IL11 receptor	simple:P20809		IL11	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS06E556972	IL15 receptor_IL15	complex:IL15 receptor	simple:P40933		IL15	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0BA342294	IL17 receptor AE_IL17C	complex:IL17 receptor AE	simple:Q9P0M4		IL17C	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS09831CCFD	IL18 receptor_IL18	complex:IL18 receptor	simple:Q14116		IL18	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS07557A266	MIS receptor 1_AMH	complex:MIS receptor 1	simple:P03971		AMH	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0F670E8BC	MIS receptor 2_AMH	complex:MIS receptor 2	simple:P03971		AMH	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-CS0D4BB4458	MIS receptor 3_AMH	complex:MIS receptor 3	simple:P03971		AMH	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0EA05941A	CCL5_CCR4	simple:P13501	simple:P51679	CCL5	CCR4	True	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0CC738ABC	CXCL11_DPP4	simple:O14625	simple:P27487	CXCL11	DPP4	True	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0FDAB7BA8	CXCL10_DPP4	simple:P02778	simple:P27487	CXCL10	DPP4	True	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0CDAC688B	CXCL2_DPP4	simple:P19875	simple:P27487	CXCL2	DPP4	True	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS08102DC9E	CXCL1_CXCR2	simple:P09341	simple:P25025	CXCL1	CXCR2	True	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0315F51DD	CXCL8_CXCR2	simple:P10145	simple:P25025	CXCL8	CXCR2	True	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0F562FEA5	CXCL2_CXCR2	simple:P19875	simple:P25025	CXCL2	CXCR2	True	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS09185EA8F	CXCL3_CXCR2	simple:P19876	simple:P25025	CXCL3	CXCR2	True	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0179FBFD3	TNFRSF10A_TNFSF10	simple:O00220	simple:P50591	TNFRSF10A	TNFSF10	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0AD0ED887	TNFRSF11B_TNFSF10	simple:O00300	simple:P50591	TNFRSF11B	TNFSF10	True	False	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0898D7F7F	TNFRSF10B_TNFSF10	simple:O14763	simple:P50591	TNFRSF10B	TNFSF10	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS01ECFDA18	TNFRSF10C_TNFSF10	simple:O14798	simple:P50591	TNFRSF10C	TNFSF10	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS033A27302	LEFTY2_TDGF1	simple:O00292	simple:P13385	LEFTY2	TDGF1	True	False	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0E9F84F1F	LEFTY1_TDGF1	simple:O75610	simple:P13385	LEFTY1	TDGF1	True	False	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS04A5D6B6F	DLL1_NOTCH1	simple:O00548	simple:P46531	DLL1	NOTCH1	False	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0423580E5	DLL1_NOTCH2	simple:O00548	simple:Q04721	DLL1	NOTCH2	False	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS060B82BBC	JAG1_NOTCH2	simple:P78504	simple:Q04721	JAG1	NOTCH2	False	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0FB5FE587	DLL1_NOTCH4	simple:O00548	simple:Q99466	DLL1	NOTCH4	False	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0837E9F59	JAG1_NOTCH4	simple:P78504	simple:Q99466	JAG1	NOTCH4	False	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS047232C64	DLL1_NOTCH3	simple:O00548	simple:Q9UM47	DLL1	NOTCH3	False	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0B99F22A2	JAG1_NOTCH3	simple:P78504	simple:Q9UM47	JAG1	NOTCH3	False	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0938C6980	DLL4_NOTCH3	simple:Q9NR61	simple:Q9UM47	DLL4	NOTCH3	False	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS00AEC3818	CCL19_ACKR4	simple:Q99731	simple:Q9NPB9	CCL19	ACKR4	True	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0AFE077D8	ACKR2_CCL4	simple:O00590	simple:P13236	ACKR2	CCL4	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS03165AD8C	ACKR2_CCL2	simple:O00590	simple:P13500	ACKR2	CCL2	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0AE4CF4E7	ACKR2_CCL5	simple:O00590	simple:P13501	ACKR2	CCL5	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0DBA4D668	DPP4_CXCL12	simple:P27487	simple:P48061	DPP4	CXCL12	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0E32BEF02	WNT5A_FZD5	simple:P41221	simple:Q13467	WNT5A	FZD5	True	False	True	user_curated	False	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0B2D5BA95	WNT5A_FZD1	simple:P41221	simple:Q9UP38	WNT5A	FZD1	True	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0D81C6C1D	WNT7B_FZD1	simple:P56706	simple:Q9UP38	WNT7B	FZD1	True	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS01C2BA5C8	WNT5A_FZD2	simple:P41221	simple:Q14332	WNT5A	FZD2	True	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS002673EFE	WNT5A_FZD3	simple:P41221	simple:Q9NPG1	WNT5A	FZD3	True	False	True	user_curated	False	0.0	0.572	0.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0B8083B44	WNT7B_FZD4	simple:P56706	simple:Q9ULV1	WNT7B	FZD4	True	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS01469637C	WNT2B_FZD4	simple:Q93097	simple:Q9ULV1	WNT2B	FZD4	True	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS053613259	NRG2_ERBB3	simple:O14511	simple:P21860	NRG2	ERBB3	True	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0E063192D	NRG2_ERBB4	simple:O14511	simple:Q15303	NRG2	ERBB4	True	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0FC42EC80	EREG_ERBB4	simple:O14944	simple:Q15303	EREG	ERBB4	True	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0F0D7F25C	BTC_ERBB4	simple:P35070	simple:Q15303	BTC	ERBB4	True	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0BD5C2A23	NRG1_ERBB4	simple:Q02297	simple:Q15303	NRG1	ERBB4	True	True	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS004C23DCE	EREG_EGFR	simple:O14944	simple:P00533	EREG	EGFR	True	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SC0E5218AA4	NRG1_a6b4 complex	simple:Q02297	complex:a6b4 complex	NRG1		True	True	False	user_curated	True	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SC0A68C5F13	IGF1_a6b4 complex	simple:P05019	complex:a6b4 complex	IGF1		True	False	False	user_curated	True	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0E41702C1	IGF1_IGF1R	simple:P05019	simple:P08069	IGF1	IGF1R	True	False	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SC001669E22	GDF11_TGFR_AVR2A	simple:O95390	complex:TGFR_AVR2A	GDF11		True	False	True	user_curated	False	0.0	0.133	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SC017215F7F	GDF11_TGFR_AVR2B	simple:O95390	complex:TGFR_AVR2B	GDF11		True	False	True	user_curated	False	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0E2863F09	TNFRSF17_TNFSF13B	simple:Q02223	simple:Q9Y275	TNFRSF17	TNFSF13B	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS090FC28E1	EPHB6_EFNB2	simple:O15197	simple:P52799	EPHB6	EFNB2	True	True	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0B9E8C0DE	EPHB2_EFNB2	simple:P29323	simple:P52799	EPHB2	EFNB2	False	True	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0DC4D593E	EPHB6_EFNB1	simple:O15197	simple:P98172	EPHB6	EFNB1	True	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0111AAD26	EPHB2_EFNB1	simple:P29323	simple:P98172	EPHB2	EFNB1	False	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0FF55B42C	EPHB3_EFNB1	simple:P54753	simple:P98172	EPHB3	EFNB1	False	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0F21D6CA0	EPHB4_EFNB1	simple:P54760	simple:P98172	EPHB4	EFNB1	False	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS0470AF83E	EPHB1_EFNB1	simple:P54762	simple:P98172	EPHB1	EFNB1	False	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS00046DCF3	EPHA4_EFNB1	simple:P54764	simple:P98172	EPHA4	EFNB1	False	True	False	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
CPI-SS08718E4FB	EPHB6_EFNB3	simple:O15197	simple:Q15768	EPHB6	EFNB3	True	True	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0
CPI-SS0DA366C78	EPHB2_EFNB3	simple:P29323	simple:Q15768	EPHB2	EFNB3	False	True	True	user_curated	False	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
